Transaction_ID,Amount,Time,Location,Device,Transaction_Count,Merchant_Category,Account_Age_Days,Class
TXN000001,2478.71,21:54,Mumbai,New,9,Food,349,0
TXN000002,603.99,18:02,Jhansi,Known,2,Electronics,897,0
TXN000003,3958.09,16:14,Lucknow,New,4,Fuel,588,0
TXN000004,4832.58,05:54,Jaipur,New,2,Travel,701,0
TXN000005,232.05,14:36,Pune,Known,7,Food,1539,0
TXN000006,458.63,19:40,Kanpur,Known,8,Food,809,0
TXN000007,2058.59,01:14,Pune,Known,5,Food,405,0
TXN000008,1291.41,04:37,Delhi,Known,4,Shopping,309,0
TXN000009,1768.52,12:22,Delhi,Known,6,Fuel,1230,0
TXN000010,734.98,08:43,Jhansi,Known,3,Food,887,0
TXN000011,4531.96,17:05,Noida,New,4,Food,486,0
TXN000012,4073.36,09:17,Delhi,Known,2,Fuel,1162,0
TXN000013,1929.23,23:38,Mumbai,Known,3,Shopping,354,0
TXN000014,5879.02,07:36,Kanpur,Known,5,Electronics,331,0
TXN000015,2940.77,08:50,Delhi,Known,2,Food,638,0
TXN000016,730.18,00:48,Lucknow,Known,4,Shopping,573,0
TXN000017,2651.1,05:00,Kanpur,New,4,Shopping,10,0
TXN000018,657.68,05:05,Jaipur,Known,4,Entertainment,482,0
TXN000019,4527.45,18:21,Mumbai,Known,5,Travel,934,0
TXN000020,1708.07,08:57,Delhi,Known,3,Food,537,0
TXN000021,1482.43,04:28,Delhi,Known,4,Fuel,683,0
TXN000022,880.57,07:53,Delhi,New,4,Entertainment,269,0
TXN000023,6497.74,13:03,Noida,New,3,Food,817,0
TXN000024,1530.4,18:57,Lucknow,Known,9,Travel,905,0
TXN000025,1148.02,23:03,Mumbai,Known,3,Shopping,1289,0
TXN000026,1243.64,01:48,Jaipur,Known,3,Fuel,563,0
TXN000027,3147.82,20:52,Pune,Known,5,Food,590,0
TXN000028,2641.91,09:17,Delhi,Known,3,Food,965,0
TXN000029,2776.4,19:18,Mumbai,New,4,Travel,635,0
TXN000030,2829.64,00:34,Pune,Known,4,Electronics,964,0
TXN000031,17056.25,15:43,Noida,Known,4,Fuel,1006,0
TXN000032,1174.74,22:07,Jaipur,Known,2,Fuel,250,0
TXN000033,1051.2,00:14,Delhi,Known,4,Bills,230,0
TXN000034,765.92,18:45,Noida,Known,7,Bills,455,0
TXN000035,3436.88,02:48,Delhi,Known,1,Entertainment,10,0
TXN000036,5889.71,23:09,Mumbai,Known,4,Travel,1479,0
TXN000037,1597.02,17:53,Noida,Known,2,Bills,164,0
TXN000038,745.0,21:52,Noida,Known,3,Entertainment,1184,0
TXN000039,757.36,21:52,Delhi,Known,4,Electronics,267,0
TXN000040,3564.09,07:14,Mumbai,Known,3,Food,1152,0
TXN000041,3928.29,09:40,Noida,Known,5,Bills,1197,0
TXN000042,3183.87,16:09,Delhi,Known,2,Food,10,0
TXN000043,894.94,04:11,Mumbai,Known,6,Shopping,653,0
TXN000044,2296.89,07:04,Mumbai,Known,3,Bills,1417,0
TXN000045,2034.62,02:29,Delhi,Known,5,Food,742,0
TXN000046,2264.63,21:42,Pune,Known,4,Food,1079,0
TXN000047,4494.2,05:11,Delhi,Known,3,Bills,809,0
TXN000048,2276.32,09:11,Kanpur,Known,8,Shopping,1073,0
TXN000049,3671.67,10:16,Noida,Known,3,Electronics,1231,0
TXN000050,1932.37,09:11,Delhi,Known,5,Shopping,622,0
TXN000051,2438.45,18:49,Jhansi,Known,4,Shopping,701,0
TXN000052,3492.58,21:10,Mumbai,Known,2,Bills,568,0
TXN000053,389.76,13:16,Pune,Known,3,Bills,180,0
TXN000054,1286.77,20:18,Pune,Known,4,Electronics,995,0
TXN000055,1098.44,02:12,Pune,Known,3,Electronics,734,0
TXN000056,920.32,23:56,Lucknow,Known,4,Fuel,1229,0
TXN000057,1348.36,02:12,Pune,Known,5,Shopping,1517,0
TXN000058,8649.27,01:29,Jhansi,Known,4,Bills,474,0
TXN000059,725.18,00:33,Lucknow,Known,5,Entertainment,526,0
TXN000060,4975.27,05:15,Delhi,Known,2,Food,440,0
TXN000061,307.52,20:28,Delhi,New,4,Shopping,1309,0
TXN000062,1266.37,07:10,Mumbai,Known,5,Food,122,0
TXN000063,2135.45,18:28,Mumbai,Known,5,Food,844,0
TXN000064,3331.16,10:01,Jaipur,Known,2,Travel,76,0
TXN000065,3798.38,02:26,Jaipur,Known,4,Shopping,1318,0
TXN000066,4140.44,11:21,Delhi,Known,5,Shopping,1006,0
TXN000067,1248.1,05:21,Jaipur,New,6,Shopping,434,0
TXN000068,1107.73,06:06,Noida,Known,2,Fuel,1456,0
TXN000069,4431.16,12:59,Kanpur,Known,4,Shopping,364,0
TXN000070,1472.43,18:01,Jaipur,Known,1,Travel,751,0
TXN000071,471.57,14:08,Noida,Known,8,Bills,10,0
TXN000072,547.62,05:06,Jhansi,Known,8,Food,963,0
TXN000073,685.48,17:58,Mumbai,New,6,Food,550,0
TXN000074,3033.77,16:19,Mumbai,Known,5,Travel,606,0
TXN000075,2090.35,05:25,Jaipur,Known,3,Shopping,295,0
