Model,Threshold,Precision,Recall,F1
Random Forest,0.01,0.03117782909930716,0.84375,0.060133630289532294
Random Forest,0.02,0.039603960396039604,0.75,0.07523510971786834
Random Forest,0.03,0.04631578947368421,0.6875,0.08678500986193294
Random Forest,0.04,0.04884318766066838,0.59375,0.09026128266033254
Random Forest,0.05,0.0547112462006079,0.5625,0.0997229916897507
Random Forest,0.060000000000000005,0.06115107913669065,0.53125,0.10967741935483871
Random Forest,0.06999999999999999,0.056,0.4375,0.09929078014184398
Random Forest,0.08,0.05429864253393665,0.375,0.09486166007905138
Random Forest,0.09,0.0625,0.375,0.10714285714285714
Random Forest,0.09999999999999999,0.07142857142857142,0.375,0.12
Random Forest,0.11,0.0759493670886076,0.375,0.12631578947368421
Random Forest,0.12,0.07857142857142857,0.34375,0.12790697674418605
Random Forest,0.13,0.08,0.3125,0.12738853503184713
Random Forest,0.14,0.07272727272727272,0.25,0.11267605633802817
Random Forest,0.15000000000000002,0.08333333333333333,0.25,0.125
Random Forest,0.16,0.06741573033707865,0.1875,0.09917355371900827
Random Forest,0.17,0.07317073170731707,0.1875,0.10526315789473684
Random Forest,0.18000000000000002,0.08333333333333333,0.1875,0.11538461538461539
Random Forest,0.19,0.07462686567164178,0.15625,0.10101010101010101
Random Forest,0.2,0.08620689655172414,0.15625,0.1111111111111111
Random Forest,0.21000000000000002,0.09803921568627451,0.15625,0.12048192771084337
Random Forest,0.22,0.10204081632653061,0.15625,0.12345679012345678
Random Forest,0.23,0.09523809523809523,0.125,0.10810810810810811
Random Forest,0.24000000000000002,0.1111111111111111,0.125,0.11764705882352941
Random Forest,0.25,0.11764705882352941,0.125,0.12121212121212122
Random Forest,0.26,0.11764705882352941,0.125,0.12121212121212122
Random Forest,0.27,0.125,0.125,0.125
Random Forest,0.28,0.15384615384615385,0.125,0.13793103448275862
Random Forest,0.29000000000000004,0.16666666666666666,0.125,0.14285714285714285
Random Forest,0.3,0.19047619047619047,0.125,0.1509433962264151
Random Forest,0.31,0.21052631578947367,0.125,0.1568627450980392
Random Forest,0.32,0.17647058823529413,0.09375,0.12244897959183673
Random Forest,0.33,0.125,0.0625,0.08333333333333333
Random Forest,0.34,0.13333333333333333,0.0625,0.0851063829787234
Random Forest,0.35000000000000003,0.13333333333333333,0.0625,0.0851063829787234
Random Forest,0.36000000000000004,0.14285714285714285,0.0625,0.08695652173913043
Random Forest,0.37,0.14285714285714285,0.0625,0.08695652173913043
Random Forest,0.38,0.15384615384615385,0.0625,0.08888888888888889
Random Forest,0.39,0.16666666666666666,0.0625,0.09090909090909091
Random Forest,0.4,0.2,0.0625,0.09523809523809523
Random Forest,0.41000000000000003,0.2,0.0625,0.09523809523809523
Random Forest,0.42000000000000004,0.25,0.0625,0.1
Random Forest,0.43,0.25,0.0625,0.1
Random Forest,0.44,0.25,0.0625,0.1
Random Forest,0.45,0.2857142857142857,0.0625,0.10256410256410256
Random Forest,0.46,0.3333333333333333,0.0625,0.10526315789473684
Random Forest,0.47000000000000003,0.3333333333333333,0.0625,0.10526315789473684
Random Forest,0.48000000000000004,0.4,0.0625,0.10810810810810811
Random Forest,0.49,0.4,0.0625,0.10810810810810811
Random Forest,0.5,0.5,0.0625,0.1111111111111111
LightGBM,0.01,0.06372549019607843,0.40625,0.11016949152542373
LightGBM,0.02,0.0761904761904762,0.25,0.11678832116788321
LightGBM,0.03,0.05194805194805195,0.125,0.07339449541284404
LightGBM,0.04,0.06349206349206349,0.125,0.08421052631578947
LightGBM,0.05,0.07272727272727272,0.125,0.09195402298850575
LightGBM,0.060000000000000005,0.09090909090909091,0.125,0.10526315789473684
LightGBM,0.06999999999999999,0.10526315789473684,0.125,0.11428571428571428
LightGBM,0.08,0.12903225806451613,0.125,0.12698412698412698
LightGBM,0.09,0.14285714285714285,0.125,0.13333333333333333
LightGBM,0.09999999999999999,0.16666666666666666,0.125,0.14285714285714285
LightGBM,0.11,0.18181818181818182,0.125,0.14814814814814814
LightGBM,0.12,0.2,0.125,0.15384615384615385
LightGBM,0.13,0.21052631578947367,0.125,0.1568627450980392
LightGBM,0.14,0.23529411764705882,0.125,0.16326530612244897
LightGBM,0.15000000000000002,0.2857142857142857,0.125,0.17391304347826086
LightGBM,0.16,0.2857142857142857,0.125,0.17391304347826086
